frame,face_id,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,gaze_amp,gaze_vel,gaze_acc,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,emotion,Anger,Contempt,Disgust,Fear,Happiness,Neutral,Sadness,Surprise,Valence,Arousal,Distraction,Time,Drive,Stimulus,Failure,Palm_EDA,Heart_Rate,Breathing_Rate,Perinasal_Perspiration,Speed,Acceleration,Brake,Steering,LaneOffset,Lane_Position,Distance,Gaze_X_Pos,Gaze_Y_Pos,Lft_Pupil_Diameter,Rt_Pupil_Diameter
48,0,1.741,0.98,1,0.194865,0.297437,-0.934644,-0.014252,0.351195,-0.936194,0.096,0.334,0.347522661,-0.328733853,20.94443964,-68,72.7,302,0.153,0.03,-0.013,0,0,0,0,0,0,0,0,0,2.09,0,0.54,1.21,0.8,2.47,0.27,2.29,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,Sadness,0.106132187,0.004718749,0.031530768,0.065434828,0.017531916,0.03475051,0.735271871,0.004629186,-0.542099655,-0.151843816,0,1,5,0,0,215.0168,83,10.7,0.006881687,-0.017807751,0,263.8275146,0.014572388,-0.099999189,1.924999189,8.06E-06,536.258118,838.510498,0.003808,0.003756
49,0,1.778,0.98,1,0.184726,0.289943,-0.939047,-0.062525,0.349054,-0.935014,0.065,0.329,0.335359509,0.446210414,-3.029225977,-69.2,74,302.3,0.162,0.027,-0.018,0,0,0,0,0,0,0,0,0,2.13,0,0.58,1.09,0.97,2.53,0.32,2.15,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,Sadness,0.090409152,0.003809009,0.024851713,0.0686666,0.013644417,0.036004867,0.756671131,0.005943134,-0.552036583,-0.177884787,0,1,5,0,0,215.0168,83,10.7,0.006881687,-0.017807751,0,263.8275146,0.014572388,-0.099999189,1.924999189,8.06E-06,536.258118,838.510498,0.003808,0.003756
50,0,1.815,0.98,1,0.190385,0.301496,-0.934266,-0.052347,0.366311,-0.929019,0.074,0.344,0.351869294,0.334129053,-10.53385866,-70.3,74.9,301.7,0.174,0.023,-0.021,0,0,0,0,0,0,0,0,0,2.14,0,0.59,1.05,1.03,2.53,0.52,2.09,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,Sadness,0.103558049,0.005167028,0.03243994,0.088478163,0.014685035,0.034257591,0.714058161,0.007356056,-0.527607918,-0.097594947,0,1,5,0,0,215.0168,83,10.7,0.006881687,-0.017807751,0,263.8275146,0.014572388,-0.099999189,1.924999189,8.06E-06,536.258118,838.510498,0.003808,0.003756
51,0,1.852,0.98,1,0.186211,0.309931,-0.932346,-0.042661,0.379387,-0.924254,0.077,0.356,0.364232069,-0.055623717,-3.128625183,-71.7,75.9,301.2,0.198,0.033,-0.026,0,0,0,0,0,0,0,0,0,2.02,0,0.52,1.03,1.02,2.46,0.63,2.04,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,Sadness,0.095609136,0.004874796,0.031159628,0.100596935,0.014367848,0.031047927,0.714690983,0.007652681,-0.521061182,-0.08794345,0,1,5,0,0,215.0168,83,10.7,0.006881687,-0.017807751,0,263.8275146,0.014572388,-0.099999189,1.924999189,8.06E-06,536.258118,838.510498,0.003808,0.003756
52,0,1.889,0.98,1,0.166758,0.309477,-0.936171,-0.015266,0.376504,-0.926289,0.081,0.353,0.362173991,-0.171382849,5.676806278,-73.2,76.7,301.1,0.215,0.034,-0.031,0,0,0,0,0,0,0,0,0,1.99,0,0.48,1.08,1.02,2.41,0.63,2.01,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,Sadness,0.061532602,0.003178338,0.018403552,0.079766601,0.011085505,0.0295648,0.790073156,0.006395459,-0.537135959,-0.163563848,0,1,5,0,0,215.0168,83,10.7,0.006881687,-0.017807751,0,263.8275146,0.014572388,-0.099999189,1.924999189,8.06E-06,536.258118,838.510498,0.003808,0.003756
53,0,1.926,0.98,1,0.17107,0.309121,-0.93551,-0.001194,0.360146,-0.932895,0.091,0.344,0.355832826,0.038658983,33.96473497,-73.2,76.6,300.6,0.216,0.036,-0.033,0,0,0,0,0,0,0,0,0,1.92,0,0.41,1.12,0.99,2.37,0.68,1.97,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,Sadness,0.047990717,0.002812671,0.016967246,0.06601236,0.011209633,0.02740439,0.821941853,0.005661082,-0.530802369,-0.197949216,0,1,5,0,0,215.0168,83,10.7,0.006881687,-0.017807751,0,263.8275146,0.014572388,-0.099999189,1.924999189,8.06E-06,536.258118,838.510498,0.003808,0.003756
54,0,1.963,0.98,1,0.168878,0.305279,-0.937169,-0.002049,0.368333,-0.929692,0.089,0.346,0.357263208,1.295354177,-27.69338216,-74.9,77.5,300.2,0.226,0.033,-0.036,0,0,0,0,0,0,0.06,0,0,1.73,0,0.38,1.27,0.66,2.25,0.93,1.82,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,Sadness,0.06325683,0.004054673,0.019880552,0.06777361,0.014867434,0.03695586,0.78443104,0.008779958,-0.49661535,-0.177272275,0,1,5,0,0,215.0168,83,10.7,0.006881687,-0.017807751,0,263.8275146,0.014572388,-0.099999189,1.924999189,8.06E-06,536.258118,838.510498,0.003808,0.003756
54,0,1.963,0.98,1,0.168878,0.305279,-0.937169,-0.002049,0.368333,-0.929692,0.089,0.346,0.357263208,1.295354177,-27.69338216,-74.9,77.5,300.2,0.226,0.033,-0.036,0,0,0,0,0,0,0.06,0,0,1.73,0,0.38,1.27,0.66,2.25,0.93,1.82,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,Sadness,0.06325683,0.004054673,0.019880552,0.06777361,0.014867434,0.03695586,0.78443104,0.008779958,-0.49661535,-0.177272275,0,1,5,0,0,215.0168,83,10.7,0.006881687,-0.017807751,0,263.8275146,0.014572388,-0.099999189,1.924999189,8.06E-06,536.258118,838.510498,0.003808,0.003756
55,0,2,0.98,1,0.155438,0.326812,-0.932219,-0.016144,0.441642,-0.897046,0.076,0.398,0.405191313,0.270699037,-8.800244019,-81.8,81.2,300.9,0.266,0.042,-0.055,0,0,0,0,0,0,0.09,0,0,1.49,0,0.39,1.38,0.34,2.1,1.21,1.77,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,Sadness,0.080558464,0.005354333,0.031264614,0.036722951,0.010314662,0.050293431,0.779322565,0.006169042,-0.520379305,-0.200076774,0,2,5,0,0,215.2667,84,10.7,0.006868999,-0.017807751,0,263.8275146,0.014572388,-0.099999189,1.924999189,1.55E-05,0,0,0,0
56,0,2.037,0.98,1,0.18045,0.337944,-0.923706,0.060267,0.4217,-0.90473,0.131,0.394,0.415207177,-0.054909992,2.288268756,-85.3,82.4,298.5,0.273,0.031,-0.06,0,0,0,0,0,0,0.09,0,0,1.19,0.02,0.54,1.51,0.2,1.94,1.43,1.68,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,Sadness,0.041704074,0.003734404,0.013171517,0.036591422,0.008599075,0.042794853,0.848100781,0.00530385,-0.502141118,-0.262282401,0,2,5,0,0,215.2667,84,10.7,0.006868999,-0.017807751,0,263.8275146,0.014572388,-0.099999189,1.924999189,1.55E-05,0,0,0,0
