Feature,Comparison,Null_Hypothesis,Welch_F,ddof1,ddof2,P_value,np2,Result,ND_N_CSV,ND_Mean,CD_N_CSV,CD_Mean,ED_N_CSV,ED_Mean,MD_N_CSV,MD_Mean
LaneOffset,ND_CD_ED,"ND, CD, ED 그룹에서 CSV 단위 평균 (LaneOffset)은 모두 같다.",2.1521,2,18.6201,0.14427210856831085,0.077396,기각하지 못함 (차이 없음),12,-0.0558,11.0,-0.0913,10.0,-0.0109,,
LaneOffset,ND_CD_MD,"ND, CD, MD 그룹에서 CSV 단위 평균 (LaneOffset)은 모두 같다.",0.4548,2,19.9688,0.6410077792043467,0.024816,기각하지 못함 (차이 없음),12,-0.0558,11.0,-0.0913,,,10.0,-0.047
LaneOffset,ND_ED_MD,"ND, ED, MD 그룹에서 CSV 단위 평균 (LaneOffset)은 모두 같다.",0.7153,2,17.9018,0.5024859046115602,0.030959,기각하지 못함 (차이 없음),12,-0.0558,,,10.0,-0.0109,10.0,-0.047
LaneOffset,ND_CD_ED_MD,"ND, CD, ED, MD 그룹에서 CSV 단위 평균 (LaneOffset)은 모두 같다.",1.4358,3,20.9904,0.260605215371342,0.064042,기각하지 못함 (차이 없음),12,-0.0558,11.0,-0.0913,10.0,-0.0109,10.0,-0.047
gaze_0_x,ND_CD_ED,"ND, CD, ED 그룹에서 CSV 단위 평균 (gaze_0_x)은 모두 같다.",0.0982,2,18.275,0.9069135341519003,0.007855,기각하지 못함 (차이 없음),12,0.1753,11.0,0.1571,10.0,0.1604,,
gaze_0_x,ND_CD_MD,"ND, CD, MD 그룹에서 CSV 단위 평균 (gaze_0_x)은 모두 같다.",0.3336,2,18.8841,0.7204828950694573,0.017944,기각하지 못함 (차이 없음),12,0.1753,11.0,0.1571,,,10.0,0.1451
gaze_0_x,ND_ED_MD,"ND, ED, MD 그룹에서 CSV 단위 평균 (gaze_0_x)은 모두 같다.",0.39,2,18.9297,0.6823630704154122,0.025845,기각하지 못함 (차이 없음),12,0.1753,,,10.0,0.1604,10.0,0.1451
gaze_0_x,ND_CD_ED_MD,"ND, CD, ED, MD 그룹에서 CSV 단위 평균 (gaze_0_x)은 모두 같다.",0.2535,3,21.2952,0.8579665068005735,0.016651,기각하지 못함 (차이 없음),12,0.1753,11.0,0.1571,10.0,0.1604,10.0,0.1451
gaze_0_y,ND_CD_ED,"ND, CD, ED 그룹에서 CSV 단위 평균 (gaze_0_y)은 모두 같다.",0.8084,2,19.7977,0.4597494932226986,0.051031,기각하지 못함 (차이 없음),12,0.151,11.0,0.1818,10.0,0.0999,,
gaze_0_y,ND_CD_MD,"ND, CD, MD 그룹에서 CSV 단위 평균 (gaze_0_y)은 모두 같다.",3.8523,2,19.3404,0.0390664700545575,0.152954,기각 (차이 있음),12,0.151,11.0,0.1818,,,10.0,0.2837
