Feature,Comparison_Set,A,B,diff,se,T,df,pval,hedges,mean_A,mean_B
gaze_0_y,ND_CD_MD,CD,ND,0.030851979904840204,0.06421831590131342,0.4804233725507773,20.420445550418858,0.8812643291449471,0.19397599428262421,0.1818089583457521,0.15095697844091188
gaze_0_y,ND_CD_MD,MD,ND,0.13269383697093645,0.05129240299474122,2.5870076117225578,18.548051320210913,0.04601544911389377,1.0205262312169934,0.28365081541184833,0.15095697844091188
gaze_0_y,ND_ED_MD,ED,MD,-0.18375742235282896,0.05197554440681292,-3.535459309758421,15.574672599230114,0.007565875608881001,-1.5142981962949111,0.09989339305901937,0.28365081541184833
gaze_0_y,ND_ED_MD,ED,ND,-0.05106358538189251,0.060802560662028396,-0.8398262314268297,19.71756849739961,0.6833152923718566,-0.34356965892572366,0.09989339305901937,0.15095697844091188
gaze_0_y,ND_ED_MD,MD,ND,0.13269383697093645,0.05129240299474122,2.5870076117225578,18.548051320210913,0.04601544911389377,1.0205262312169934,0.28365081541184833,0.15095697844091188
gaze_0_y,ND_CD_ED_MD,CD,ED,0.08191556528673272,0.06476525850029882,1.2648072003967183,18.954034358204584,0.5952339187402717,0.526590223576217,0.1818089583457521,0.09989339305901937
gaze_0_y,ND_CD_ED_MD,CD,MD,-0.10184185706609625,0.05593297712911252,-1.820783771816942,16.090741854547293,0.29980171317660087,-0.7443594653773512,0.1818089583457521,0.28365081541184833
gaze_0_y,ND_CD_ED_MD,CD,ND,0.030851979904840204,0.06421831590131342,0.4804233725507773,20.420445550418858,0.962572832999429,0.19397599428262421,0.1818089583457521,0.15095697844091188
gaze_0_y,ND_CD_ED_MD,ED,MD,-0.18375742235282896,0.05197554440681292,-3.535459309758421,15.574672599230114,0.013581419202451261,-1.5142981962949111,0.09989339305901937,0.28365081541184833
gaze_0_y,ND_CD_ED_MD,ED,ND,-0.05106358538189251,0.060802560662028396,-0.8398262314268297,19.71756849739961,0.8349058366106299,-0.34356965892572366,0.09989339305901937,0.15095697844091188
gaze_0_y,ND_CD_ED_MD,MD,ND,0.13269383697093645,0.05129240299474122,2.5870076117225578,18.548051320210913,0.07870741330260411,1.0205262312169934,0.28365081541184833,0.15095697844091188
gaze_0_z,ND_ED_MD,ED,MD,-0.031169632595570262,0.01083216068275599,-2.877508329911506,13.505118197426862,0.03152258526721685,-1.2324864443444357,-0.9655317719328661,-0.9343621393372958
gaze_0_z,ND_ED_MD,ED,ND,-0.020860613125995853,0.012596317023904863,-1.6560882904429357,14.834641316236437,0.2542261003206785,-0.6361872854039261,-0.9655317719328661,-0.9446711588068702
gaze_0_z,ND_ED_MD,MD,ND,0.01030901946957441,0.015045252959751421,0.6852008070022331,19.863135637394727,0.7747099571052107,0.2750953785276482,-0.9343621393372958,-0.9446711588068702
gaze_0_z,ND_CD_ED_MD,CD,ED,0.017018257955655924,0.01618754242514419,1.0513181994334964,12.05558216542732,0.7238338092606434,0.42311493550369667,-0.9485135139772102,-0.9655317719328661
gaze_0_z,ND_CD_ED_MD,CD,MD,-0.014151374639914338,0.01815844056691093,-0.7793276403757692,16.5278142132885,0.862703854586139,-0.31918452749117104,-0.9485135139772102,-0.9343621393372958
gaze_0_z,ND_CD_ED_MD,CD,ND,-0.0038423551703399283,0.01926292971828811,-0.1994688879901804,18.976250730428625,0.9970890677054799,-0.08112863580317088,-0.9485135139772102,-0.9446711588068702
gaze_0_z,ND_CD_ED_MD,ED,MD,-0.031169632595570262,0.01083216068275599,-2.877508329911506,13.505118197426862,0.05399664149759886,-1.2324864443444357,-0.9655317719328661,-0.9343621393372958
gaze_0_z,ND_CD_ED_MD,ED,ND,-0.020860613125995853,0.012596317023904863,-1.6560882904429357,14.834641316236437,0.37957267552611285,-0.6361872854039261,-0.9655317719328661,-0.9446711588068702
gaze_0_z,ND_CD_ED_MD,MD,ND,0.01030901946957441,0.015045252959751421,0.6852008070022331,19.863135637394727,0.901508351319109,0.2750953785276482,-0.9343621393372958,-0.9446711588068702
gaze_1_y,ND_ED_MD,ED,MD,-0.1572041836649815,0.06289182276008501,-2.4995965574836685,16.01591971357127,0.05832434080902982,-1.0706203145981412,0.12838178377461779,0.2855859674395993
gaze_1_y,ND_ED_MD,ED,ND,-0.014040453800955116,0.06879651797347885,-0.20408669238707297,18.986750786211235,0.9773273200527781,-0.08438318849836303,0.12838178377461779,0.1424222375755729
gaze_1_y,ND_ED_MD,MD,ND,0.1431637298640264,0.05779958144513831,2.476899075816202,19.65019909606638,0.05603723560581353,0.9898990865868832,0.2855859674395993,0.1424222375755729
gaze_angle_y,ND_ED_MD,ED,MD,-0.17689101909789556,0.05893055451827623,-3.0016859767208888,15.998225370540814,0.021779843968848134,-1.2856738720895537,0.11725375033439996,0.2941447694322955
gaze_angle_y,ND_ED_MD,ED,ND,-0.034984234739311046,0.06666159454270566,-0.5248034491119016,19.508436249741536,0.8602068641269879,-0.21549151815886727,0.11725375033439996,0.152237985073711
gaze_angle_y,ND_ED_MD,MD,ND,0.1419067843585845,0.0567038941019731,2.5025932805141617,19.2084763730103,0.05370144618541328,0.9939531232204352,0.2941447694322955,0.152237985073711
gaze_angle_y,ND_CD_ED_MD,CD,ED,0.07434733830895891,0.07015161075618279,1.0598094257216515,18.998802807636597,0.7172291750774771,0.44249384084676074,0.19160108864335887,0.11725375033439996
gaze_angle_y,ND_CD_ED_MD,CD,MD,-0.10254368078893664,0.06076851085092242,-1.687447649334328,17.030451121936142,0.3600510827803448,-0.6926660939747878,0.19160108864335887,0.2941447694322955
gaze_angle_y,ND_CD_ED_MD,CD,ND,0.03936310356964787,0.06829179923082444,0.5763957607355114,20.536871395603693,0.938027250954644,0.23253062696507246,0.19160108864335887,0.152237985073711
gaze_angle_y,ND_CD_ED_MD,ED,MD,-0.17689101909789556,0.05893055451827623,-3.0016859767208888,15.998225370540814,0.03809704734705832,-1.2856738720895537,0.11725375033439996,0.2941447694322955
gaze_angle_y,ND_CD_ED_MD,ED,ND,-0.034984234739311046,0.06666159454270566,-0.5248034491119016,19.508436249741536,0.9520632771881551,-0.21549151815886727,0.11725375033439996,0.152237985073711
gaze_angle_y,ND_CD_ED_MD,MD,ND,0.1419067843585845,0.0567038941019731,2.5025932805141617,19.2084763730103,0.09129593889765208,0.9939531232204352,0.2941447694322955,0.152237985073711
