Feature,Comparison,Group,W_statistic,P_value,Is_Normal,Result
gaze_1_x,ND_vs_CD_ED_vs_MD,ND,0.9498,0.5211479291583515,True,정규성 만족
gaze_1_x,ND_vs_CD_ED_vs_MD,CD_ED,0.9535,0.6521503545010479,True,정규성 만족
gaze_1_x,ND_vs_CD_ED_vs_MD,MD,0.9365,0.6070298003041668,True,정규성 만족
gaze_1_y,ND_vs_CD_ED_vs_MD,ND,0.899,0.09196413545555958,True,정규성 만족
gaze_1_y,ND_vs_CD_ED_vs_MD,CD_ED,0.8774,0.06581240625823147,True,정규성 만족
gaze_1_y,ND_vs_CD_ED_vs_MD,MD,0.9348,0.592049474662109,True,정규성 만족
gaze_1_z,ND_vs_CD_ED_vs_MD,ND,0.4612,1.7395448579955924e-06,False,정규성 위배
gaze_1_z,ND_vs_CD_ED_vs_MD,CD_ED,0.9357,0.40418402453521896,True,정규성 만족
gaze_1_z,ND_vs_CD_ED_vs_MD,MD,0.6959,0.003347464565894848,False,정규성 위배
gaze_angle_x,ND_vs_CD_ED_vs_MD,ND,0.9749,0.9231351503082348,True,정규성 만족
gaze_angle_x,ND_vs_CD_ED_vs_MD,CD_ED,0.9019,0.14211910543335937,True,정규성 만족
gaze_angle_x,ND_vs_CD_ED_vs_MD,MD,0.9455,0.6885513803889032,True,정규성 만족
gaze_angle_y,ND_vs_CD_ED_vs_MD,ND,0.8612,0.02509334209132804,False,정규성 위배
gaze_angle_y,ND_vs_CD_ED_vs_MD,CD_ED,0.9134,0.20382638646378837,True,정규성 만족
gaze_angle_y,ND_vs_CD_ED_vs_MD,MD,0.9114,0.40590698707732026,True,정규성 만족
gaze_vel,ND_vs_CD_ED_vs_MD,ND,0.8431,0.013903755713487485,False,정규성 위배
gaze_vel,ND_vs_CD_ED_vs_MD,CD_ED,0.8633,0.04259231110676455,False,정규성 위배
gaze_vel,ND_vs_CD_ED_vs_MD,MD,0.8785,0.21983437766358355,True,정규성 만족
gaze_amp,ND_vs_CD_ED_vs_MD,ND,0.8425,0.013639500001091489,False,정규성 위배
gaze_amp,ND_vs_CD_ED_vs_MD,CD_ED,0.8861,0.08621114939796162,True,정규성 만족
gaze_amp,ND_vs_CD_ED_vs_MD,MD,0.9097,0.39392498513027163,True,정규성 만족
gaze_acc,ND_vs_CD_ED_vs_MD,ND,0.9658,0.791980976555865,True,정규성 만족
gaze_acc,ND_vs_CD_ED_vs_MD,CD_ED,0.8504,0.028843524394382303,False,정규성 위배
gaze_acc,ND_vs_CD_ED_vs_MD,MD,0.9624,0.8387810542691065,True,정규성 만족
