experiment,ablation,removed_type,removed_name,removed_group,num_features,acc_mean,acc_std,prec_mean,prec_std,rec_mean,rec_std,f1_mean,f1_std,spec_mean,spec_std,auc_mean,auc_std
3Class_ND_ED_MD,feature_minus_Brake,feature,Brake,VEHICLE,38,0.7874431818181818,0.055146911815150024,0.7929615758977782,0.051807247731375884,0.7876206284411823,0.05494953068332155,0.7873775843116392,0.05560447536827282,0.8937598495753344,0.027461652966298666,0.9095020438876672,0.04538594388209832
3Class_ND_ED_MD,feature_minus_Steering,feature,Steering,VEHICLE,38,0.8117319399350651,0.03273006989512393,0.8154320364107214,0.028884025029252178,0.811545607050595,0.03269526140870376,0.8119567886488491,0.031393870363786304,0.90585379984752,0.016358330307521943,0.9252515157248654,0.017901700866304653
3Class_ND_ED_MD,feature_minus_LaneOffset,feature,LaneOffset,VEHICLE,38,0.7860856331168831,0.0635250589150689,0.7906703741204522,0.059290380063694026,0.7861406332577189,0.06362852877941598,0.7860985631291613,0.06287050047481678,0.8930746006249706,0.03181767778799684,0.9065556320216936,0.04123821470675372
3Class_ND_ED_MD,feature_minus_gaze_0_x,feature,gaze_0_x,GAZE,38,0.7923741883116884,0.05249413727013432,0.7984104228949357,0.049371366373981165,0.7920797842794622,0.052987373912662436,0.7910263701193994,0.053443722662618084,0.8961065142303287,0.02638762602858359,0.9064305545819643,0.032930933557346914
3Class_ND_ED_MD,feature_minus_gaze_0_y,feature,gaze_0_y,GAZE,38,0.8127972808441559,0.03788326256568867,0.815235886272793,0.03808497067641519,0.8125549353009074,0.03761035409679585,0.8119664813151708,0.037165084340495654,0.9064364544308576,0.018900809792675784,0.9192426331170314,0.02889091846176657
3Class_ND_ED_MD,feature_minus_gaze_0_z,feature,gaze_0_z,GAZE,38,0.7934735186688312,0.04177200724633859,0.7998414904786758,0.0374150731403869,0.7934449513945174,0.041843827267255614,0.7947968959611275,0.040538178275966376,0.8965149929257705,0.021021021159851935,0.9152800696471275,0.027479381493957025
3Class_ND_ED_MD,feature_minus_gaze_1_x,feature,gaze_1_x,GAZE,38,0.7990949675324674,0.03656753497694276,0.8016922382831234,0.03418179329821851,0.7990915592502346,0.03626471043394756,0.7973590846159663,0.039331311670808854,0.8996064462558848,0.01827371686569573,0.9192695879586867,0.023597133196097266
3Class_ND_ED_MD,feature_minus_gaze_1_y,feature,gaze_1_y,GAZE,38,0.7990645292207792,0.05570067860625256,0.8054419261006422,0.05440823603546121,0.7993582558695682,0.0553898726508447,0.799499056821162,0.055302564538105135,0.8995075034525446,0.02773522470789522,0.9135769934530039,0.03638060537754073
3Class_ND_ED_MD,feature_minus_gaze_1_z,feature,gaze_1_z,GAZE,38,0.7945205965909091,0.05844806656703195,0.7993828871030174,0.05616982658694928,0.7947427665331628,0.05829934062127956,0.7950822762038336,0.05810500962691163,0.8973430528870436,0.02909810421657218,0.9158944068323567,0.03478145619277212
3Class_ND_ED_MD,feature_minus_gaze_angle_x,feature,gaze_angle_x,GAZE,38,0.7743242694805195,0.07017959882261954,0.7766942513257095,0.06751676491605192,0.7742583720558047,0.07047833012975208,0.7734889018868522,0.0714336930642649,0.8870983193573945,0.03518086888097821,0.902194124385083,0.04300277108659444
3Class_ND_ED_MD,feature_minus_gaze_angle_y,feature,gaze_angle_y,GAZE,38,0.7732776988636364,0.06367625187765324,0.7819720447780603,0.0535956471349271,0.7732024453333723,0.06373133100347575,0.7742104429042954,0.06235180356545254,0.8866684075905631,0.03181616996412906,0.9097864533620541,0.03618425900751713
3Class_ND_ED_MD,feature_minus_gaze_vel,feature,gaze_vel,GAZE,38,0.7808872767857142,0.0806835746240016,0.7862124784879386,0.07464237478687685,0.7807760032257397,0.08064564331055125,0.7814565361627545,0.07952054411194294,0.8904080498159355,0.04038602411604833,0.9084737294325371,0.04188878128651992
3Class_ND_ED_MD,feature_minus_gaze_amp,feature,gaze_amp,GAZE,38,0.7971540178571429,0.04815153204648243,0.8038529355677859,0.040845945492127785,0.7965984265399007,0.04807970316301595,0.7972140834198893,0.046288963701898694,0.898502972871561,0.024327770401458868,0.9168645102433555,0.024666454535062207
3Class_ND_ED_MD,feature_minus_gaze_acc,feature,gaze_acc,GAZE,38,0.7938103693181818,0.06047657959446266,0.8042779260510476,0.045631143542030676,0.7932436959628473,0.061285938020771896,0.7930815374554652,0.06086692311218822,0.8967420608840111,0.030598785428272487,0.9180171334297567,0.02819205455159832
3Class_ND_CDED_MD,baseline_all_features,baseline,none,none,39,0.7938032280219781,0.014134642500027363,0.7985477362175788,0.01671774400851821,0.7937451292059896,0.01424609706015067,0.7938306118951908,0.013290607227091144,0.8968984273857213,0.007087821766186492,0.9141537378346618,0.015542700507408554
3Class_ND_CDED_MD,group_minus_AU,group,AU,AU,22,0.596088598901099,0.03967098328790842,0.6057040018974902,0.04944703202507468,0.5962941139277873,0.03901612149643089,0.5848961383760782,0.03129564434858288,0.7979275668096462,0.01963815523389484,0.8033181482437589,0.03267732632925267
3Class_ND_CDED_MD,group_minus_POSE,group,POSE,POSE,33,0.7780906593406594,0.04839729250656042,0.7840144520231653,0.05020393767834903,0.7780276215146461,0.04877929322081148,0.7774586328766788,0.0495497040193487,0.8890612242774315,0.024329109719124074,0.9087757954352244,0.03220892301739106
3Class_ND_CDED_MD,group_minus_VEHICLE,group,VEHICLE,VEHICLE,34,0.7922510302197803,0.035295189340444504,0.8000462914582723,0.034183831416922716,0.7922293030579908,0.035132953735015335,0.7916003415464197,0.03619153045525147,0.8961131328043515,0.01748756854636787,0.9199246732109403,0.024020744927797304
3Class_ND_CDED_MD,group_minus_GAZE,group,GAZE,GAZE,28,0.7797218406593407,0.018767859957871082,0.7889757195720832,0.020504553020703198,0.7797419479616623,0.01858820275769869,0.7785476146817041,0.018773235418435338,0.889886957006371,0.009383786144898485,0.9126565511816818,0.016175322537170023
3Class_ND_CDED_MD,feature_minus_AU01_r,feature,AU01_r,AU,38,0.7871497252747253,0.03738535328953691,0.7883916543945483,0.037714317277733396,0.7871476723752953,0.03731542848825697,0.7866685675116256,0.03817835311260212,0.8936225481636478,0.01865419088413968,0.9139929534725079,0.026982501753569494
3Class_ND_CDED_MD,feature_minus_AU02_r,feature,AU02_r,AU,38,0.8146067994505495,0.012798390562939537,0.8221849097218044,0.013799998144835112,0.8145538650204639,0.012683078620684582,0.8143602315961556,0.013508727131443776,0.9073175591734017,0.006389344433061049,0.9277952273766894,0.0024320634497435063
3Class_ND_CDED_MD,feature_minus_AU04_r,feature,AU04_r,AU,38,0.7974759615384615,0.025519660314989614,0.8017393477452706,0.026950277309782077,0.7976505729353558,0.02547877110596686,0.7975596435059349,0.02518359848530766,0.8987218963373115,0.012782381301075318,0.9212392583760811,0.018715931524650332
3Class_ND_CDED_MD,feature_minus_AU05_r,feature,AU05_r,AU,38,0.804325206043956,0.01513852026596038,0.8102703395165356,0.017374791886952547,0.8043214631262764,0.01505795377380214,0.8040912433314518,0.015448167250981682,0.9021005211034574,0.007479051046900183,0.9211092194787437,0.004979605212722055
3Class_ND_CDED_MD,feature_minus_AU06_r,feature,AU06_r,AU,38,0.7925686813186814,0.029077083411572387,0.8001107182824285,0.03210834647488281,0.7924848978085525,0.029254094718073075,0.7907047403318768,0.029814990088725013,0.8962845950955989,0.01461622753181407,0.9216951864941461,0.02220138866124862
3Class_ND_CDED_MD,feature_minus_AU07_r,feature,AU07_r,AU,38,0.7886778846153847,0.05311377633353725,0.7954493455173961,0.05075403039480038,0.788811378029253,0.05296427855279062,0.7892442435410034,0.05302190549330913,0.8943627333223858,0.026566743196262153,0.91283846664337,0.03608456492096467
3Class_ND_CDED_MD,feature_minus_AU09_r,feature,AU09_r,AU,38,0.8088169642857143,0.019413227593891875,0.8155019034805215,0.01911574878484291,0.8087291484565995,0.019226441576847227,0.8081619135124051,0.019747108168419375,0.9043514503062813,0.009739307999925262,0.9271019950669439,0.013263292225937133
3Class_ND_CDED_MD,feature_minus_AU10_r,feature,AU10_r,AU,38,0.8057469093406594,0.008968905883963988,0.8119285386007296,0.011695365906251037,0.805826166851001,0.00922224592980402,0.8061090757402397,0.00915183024808253,0.9028428824674218,0.004504213580279299,0.926177323557915,0.012420508375253556
3Class_ND_CDED_MD,feature_minus_AU12_r,feature,AU12_r,AU,38,0.8058997252747254,0.018556256890144892,0.8079979798429052,0.020531942581491713,0.8059539180397538,0.018814981575834694,0.8055150483837927,0.01897981020137299,0.9029979718589102,0.009285101520860092,0.9199296476018791,0.01550732411147246
3Class_ND_CDED_MD,feature_minus_AU14_r,feature,AU14_r,AU,38,0.7987791895604396,0.01926463425692461,0.8024725475868113,0.019368660265430555,0.7989980219967765,0.019443471308905395,0.7988501736699429,0.019715975763453148,0.899431456106683,0.009539816607164114,0.9184834536273867,0.011611974798411095
3Class_ND_CDED_MD,feature_minus_AU15_r,feature,AU15_r,AU,38,0.8155339972527473,0.02236561929571365,0.8228137257679435,0.020304270683892556,0.815588692937401,0.022318781225486813,0.8157714757460124,0.02228500788129813,0.9077308108499718,0.01112721869153174,0.9310514379627625,0.013749903244268027
3Class_ND_CDED_MD,feature_minus_AU17_r,feature,AU17_r,AU,38,0.7956370192307692,0.03786690270719398,0.8006407954356904,0.039938786661226515,0.7955857154647964,0.03763573220205981,0.7958412777827872,0.037962131350519894,0.8978341384079169,0.01896269809109727,0.917166450723266,0.023851444396140887
3Class_ND_CDED_MD,feature_minus_AU20_r,feature,AU20_r,AU,38,0.7847561813186813,0.04574366298720812,0.7908427841281891,0.044826230392237876,0.7846129246232254,0.04611420697605842,0.7838072272715688,0.04611427744203107,0.8924087037300359,0.022852594231333918,0.9107396013951623,0.024225533323280653
3Class_ND_CDED_MD,feature_minus_AU23_r,feature,AU23_r,AU,38,0.7964663461538461,0.05696833153914805,0.8000362466069347,0.05370458665366405,0.7964537104755977,0.05706718626535838,0.7972035066432901,0.05624933752654914,0.8981504109220912,0.028573419506002198,0.9158504955552548,0.03777707094446814
3Class_ND_CDED_MD,feature_minus_AU25_r,feature,AU25_r,AU,38,0.7820947802197802,0.030464589987142375,0.7870207992066864,0.03216017231105591,0.7820871301279266,0.03055589244190779,0.7809807426629051,0.03171954064348358,0.8910509754118234,0.015180957742842265,0.9075657790835399,0.018732419555471686
3Class_ND_CDED_MD,feature_minus_AU26_r,feature,AU26_r,AU,38,0.7959787087912088,0.02026037610825628,0.8026478609732332,0.02143289619172533,0.7961916678484091,0.020374612288222415,0.7959945581360209,0.020391409328592187,0.8980985147549291,0.010103365768552586,0.9210813782621884,0.011356148717414591
3Class_ND_CDED_MD,feature_minus_AU45_r,feature,AU45_r,AU,38,0.7674296016483517,0.06774017570909469,0.770809826226998,0.07043111889555942,0.7673965370035123,0.0676648362062337,0.7659444940162052,0.0687000539135442,0.8837010507356655,0.03380620913999466,0.8890866290217072,0.042763360175466926
3Class_ND_CDED_MD,feature_minus_pose_Tx,feature,pose_Tx,POSE,38,0.7946583104395604,0.03422337432098619,0.8008008506901578,0.03584266899836172,0.7947576729153255,0.03414984989917722,0.7945658615679804,0.03461968482981584,0.8973578707422087,0.017168980943588534,0.9158952491702209,0.017373095841225424
3Class_ND_CDED_MD,feature_minus_pose_Ty,feature,pose_Ty,POSE,38,0.7906387362637363,0.05868913438871019,0.7960872646213203,0.0562906192598281,0.7906016048837455,0.058655783112063466,0.790349283748555,0.05771833138604202,0.8952846322918765,0.02941607632251537,0.9119073193886494,0.03490537515085861
3Class_ND_CDED_MD,feature_minus_pose_Tz,feature,pose_Tz,POSE,38,0.7957726648351648,0.023332911666411976,0.7976389086385569,0.023853343124264795,0.7956289002176161,0.023536902500857628,0.7950406864454465,0.024191461934499055,0.897875853646297,0.011663458834394692,0.9179053277878116,0.01496237198054811
3Class_ND_CDED_MD,feature_minus_pose_Rx,feature,pose_Rx,POSE,38,0.7958258928571429,0.03148861388705547,0.8054594350617897,0.028458780302803192,0.7958574103902527,0.03160666473942584,0.7960805691934769,0.03142236980368375,0.897877069377387,0.015723963287709485,0.9212763049575405,0.017767859185550485
3Class_ND_CDED_MD,feature_minus_pose_Ry,feature,pose_Ry,POSE,38,0.7982812499999999,0.04013344439959023,0.8022677414323558,0.03840051003986442,0.7985502119786044,0.03998801264504642,0.798216864036289,0.04003563876896835,0.8992102436050061,0.02005783165782853,0.921693739261177,0.022808322219922978
3Class_ND_CDED_MD,feature_minus_pose_Rz,feature,pose_Rz,POSE,38,0.7915006868131869,0.035331591007817915,0.7985073874232578,0.03371209190756335,0.7915294135449304,0.03499748571112972,0.7914633844802828,0.03451074520734387,0.8958386408070286,0.01752696590476314,0.9131166233684823,0.031878954774467984
