Feature,Comparison,Group,W_statistic,P_value,Is_Normal,Result
gaze_0_z,ND_vs_CD_ED_vs_MD,MD,0.8911,0.14337583389311503,True,정규성 만족
gaze_1_x,ND_vs_CD_ED_vs_MD,ND,0.9552,0.6094036397973266,True,정규성 만족
gaze_1_x,ND_vs_CD_ED_vs_MD,CD_ED,0.9009,0.2943847520077816,True,정규성 만족
gaze_1_x,ND_vs_CD_ED_vs_MD,MD,0.9163,0.2892999676146622,True,정규성 만족
gaze_1_y,ND_vs_CD_ED_vs_MD,ND,0.9022,0.10269286908713515,True,정규성 만족
gaze_1_y,ND_vs_CD_ED_vs_MD,CD_ED,0.8972,0.2726354069292272,True,정규성 만족
gaze_1_y,ND_vs_CD_ED_vs_MD,MD,0.9702,0.8886496741669332,True,정규성 만족
gaze_1_z,ND_vs_CD_ED_vs_MD,ND,0.7235,0.00044898969685416964,False,정규성 위배
gaze_1_z,ND_vs_CD_ED_vs_MD,CD_ED,0.9246,0.4686944631469987,True,정규성 만족
gaze_1_z,ND_vs_CD_ED_vs_MD,MD,0.77,0.003799244799461156,False,정규성 위배
gaze_angle_x,ND_vs_CD_ED_vs_MD,ND,0.8933,0.07525971853685964,True,정규성 만족
gaze_angle_x,ND_vs_CD_ED_vs_MD,CD_ED,0.9385,0.5968636681509147,True,정규성 만족
gaze_angle_x,ND_vs_CD_ED_vs_MD,MD,0.9264,0.37531726171657914,True,정규성 만족
gaze_angle_y,ND_vs_CD_ED_vs_MD,ND,0.861,0.024922150348502713,False,정규성 위배
gaze_angle_y,ND_vs_CD_ED_vs_MD,CD_ED,0.9435,0.6460460477954069,True,정규성 만족
gaze_angle_y,ND_vs_CD_ED_vs_MD,MD,0.9567,0.7302091170444825,True,정규성 만족
gaze_vel,ND_vs_CD_ED_vs_MD,ND,0.7899,0.0027332842513090095,False,정규성 위배
gaze_vel,ND_vs_CD_ED_vs_MD,CD_ED,0.9267,0.4863281076375974,True,정규성 만족
gaze_vel,ND_vs_CD_ED_vs_MD,MD,0.894,0.15586420814856106,True,정규성 만족
gaze_amp,ND_vs_CD_ED_vs_MD,ND,0.7743,0.0017506477311149602,False,정규성 위배
gaze_amp,ND_vs_CD_ED_vs_MD,CD_ED,0.9418,0.6293443554957814,True,정규성 만족
gaze_amp,ND_vs_CD_ED_vs_MD,MD,0.9049,0.2121328566290568,True,정규성 만족
gaze_acc,ND_vs_CD_ED_vs_MD,ND,0.9595,0.6843632080435296,True,정규성 만족
gaze_acc,ND_vs_CD_ED_vs_MD,CD_ED,0.8335,0.06458166600343157,True,정규성 만족
gaze_acc,ND_vs_CD_ED_vs_MD,MD,0.8464,0.038243098106701456,False,정규성 위배
