experiment,ablation,removed_type,removed_name,removed_group,removed_groups,num_removed_groups,num_features,acc_mean,acc_std,bacc_mean,bacc_std,prec_mean,prec_std,rec_mean,rec_std,f1_mean,f1_std,spec_mean,spec_std,auc_mean,auc_std
3Class_ND_ED_MD,feature_minus_gaze_0_z,feature,gaze_0_z,GAZE,GAZE,1,38,0.7661044916838093,0.035323469906216466,0.7661044916838093,0.03532346990621649,0.7888185329607024,0.02911266923326484,0.7661044916838093,0.03532346990621649,0.7646846794932641,0.03844622050486787,0.8830522458419047,0.017661734953108247,0.9267225851219274,0.012821978445245168
3Class_ND_ED_MD,feature_minus_gaze_1_x,feature,gaze_1_x,GAZE,GAZE,1,38,0.7624221344973431,0.0323157420786383,0.762422134497343,0.03231574207863832,0.7869613854487455,0.027179566565418024,0.762422134497343,0.03231574207863832,0.7606685855915464,0.03566923071188964,0.8812110672486716,0.016157871039319156,0.925844869926523,0.012434850787833272
3Class_ND_ED_MD,feature_minus_gaze_1_y,feature,gaze_1_y,GAZE,GAZE,1,38,0.7626532788148341,0.03168905811988064,0.762653278814834,0.03168905811988065,0.7855881835901445,0.026761195851702838,0.762653278814834,0.03168905811988065,0.7611009098034097,0.03527682251669837,0.881326639407417,0.015844529059940347,0.9248962180024047,0.012927774096189754
3Class_ND_ED_MD,feature_minus_gaze_1_z,feature,gaze_1_z,GAZE,GAZE,1,38,0.7628789130892608,0.0378525354403073,0.7628789130892608,0.037852535440307325,0.7862888354792398,0.03197822420092114,0.7628789130892608,0.037852535440307325,0.7613849971109622,0.04133273286740125,0.8814394565446303,0.018926267720153666,0.9256437006312801,0.012635471703825675
3Class_ND_ED_MD,feature_minus_gaze_angle_x,feature,gaze_angle_x,GAZE,GAZE,1,38,0.7617102882893609,0.03256533264166794,0.7617102882893608,0.03256533264166795,0.7858055787060356,0.02855718261710261,0.7617102882893608,0.03256533264166795,0.7604072737167216,0.03565807280867028,0.8808551441446804,0.016282666320833954,0.9247780750765046,0.013067263445126416
3Class_ND_ED_MD,feature_minus_gaze_angle_y,feature,gaze_angle_y,GAZE,GAZE,1,38,0.7589926192202741,0.035577130047788154,0.7589926192202741,0.03557713004778815,0.7834859371929705,0.02891611114709574,0.7589926192202741,0.03557713004778815,0.7576154367122168,0.038870413421356095,0.8794963096101371,0.017788565023894073,0.9257451212231074,0.012554261930880477
3Class_ND_ED_MD,feature_minus_gaze_vel,feature,gaze_vel,GAZE,GAZE,1,38,0.7641312256370296,0.03448889947035767,0.7641312256370296,0.034488899470357715,0.7878183932846977,0.02796856411373163,0.7641312256370296,0.034488899470357715,0.7627693125917681,0.03759501216104355,0.8820656128185147,0.01724444973517886,0.9255428500981061,0.012704163142685318
3Class_ND_ED_MD,feature_minus_gaze_amp,feature,gaze_amp,GAZE,GAZE,1,38,0.7616270152644029,0.03626659746241257,0.7616270152644029,0.0362665974624126,0.7849357137228307,0.028021482083983716,0.7616270152644029,0.0362665974624126,0.7600230045742488,0.03927737698475636,0.8808135076322013,0.0181332987312063,0.9257251749074602,0.012370200530176675
3Class_ND_ED_MD,feature_minus_gaze_acc,feature,gaze_acc,GAZE,GAZE,1,38,0.761341998292038,0.03265165186591436,0.761341998292038,0.0326516518659144,0.7851265049284378,0.026906200716190647,0.761341998292038,0.0326516518659144,0.7600128101836787,0.035543243018146986,0.880670999146019,0.016325825932957175,0.9255682548490567,0.011784220502186074
3Class_ND_CDED_MD,baseline_all_features,baseline,none,none,none,0,39,0.8336065328183586,0.03219580164353422,0.8336065328183586,0.0321958016435342,0.8410593420655552,0.03249015069663755,0.8336065328183586,0.0321958016435342,0.8348057223281871,0.03217101588136569,0.9168032664091793,0.016097900821767167,0.9453124181238121,0.016386174160745406
